Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,UTM_easting,UTM_northing,Zone,Fix,Letter
1665800730.3852699,0,8732,0,GPS1_Frame,42.364740166666664,-71.06514233333334,12.199999809265137,329946.5443957689,4692339.787392715,19,4,T
1665800731.3956828,0,8733,0,GPS1_Frame,42.364740166666664,-71.06514233333334,12.199999809265137,329946.5443957689,4692339.787392715,19,4,T
1665800732.3911889,0,8734,0,GPS1_Frame,42.364740166666664,-71.06514233333334,12.199999809265137,329946.5443957689,4692339.787392715,19,4,T
1665800733.3839817,0,8735,0,GPS1_Frame,42.364740166666664,-71.06514233333334,12.199999809265137,329946.5443957689,4692339.787392715,19,4,T
1665800734.3960295,0,8736,0,GPS1_Frame,42.364740166666664,-71.06514233333334,12.199999809265137,329946.5443957689,4692339.787392715,19,4,T
1665800735.3935473,0,8737,0,GPS1_Frame,42.364740166666664,-71.06514233333334,12.199999809265137,329946.5443957689,4692339.787392715,19,4,T
1665800736.3835282,0,8738,0,GPS1_Frame,42.364740166666664,-71.06514233333334,12.199999809265137,329946.5443957689,4692339.787392715,19,4,T
1665800737.3984494,0,8738,0,GPS1_Frame,42.364740333333344,-71.06514233333334,12.199999809265137,329946.544845463,4692339.805899831,19,4,T
1665800738.392818,0,8740,0,GPS1_Frame,42.364740333333344,-71.06514233333334,12.199999809265137,329946.544845463,4692339.805899831,19,4,T
1665800739.3852544,0,8741,0,GPS1_Frame,42.364740166666664,-71.06514233333334,12.199999809265137,329946.5443957689,4692339.787392715,19,4,T
1665800740.400472,0,8741,0,GPS1_Frame,42.364740166666664,-71.06514233333334,12.199999809265137,329946.5443957689,4692339.787392715,19,4,T
1665800741.3939216,0,8743,0,GPS1_Frame,42.364740166666664,-71.06514233333334,12.199999809265137,329946.5443957689,4692339.787392715,19,4,T
1665800742.3875332,0,8744,0,GPS1_Frame,42.364740166666664,-71.06514233333334,12.199999809265137,329946.5443957689,4692339.787392715,19,4,T
1665800743.402149,0,8744,0,GPS1_Frame,42.364740333333344,-71.06514233333334,12.199999809265137,329946.544845463,4692339.805899831,19,4,T
1665800744.394569,0,8746,0,GPS1_Frame,42.364740166666664,-71.06514233333334,12.199999809265137,329946.5443957689,4692339.787392715,19,4,T
1665800745.392711,0,8747,0,GPS1_Frame,42.364740333333344,-71.06514233333334,12.199999809265137,329946.544845463,4692339.805899831,19,4,T
1665800746.3888602,0,8747,0,GPS1_Frame,42.364740333333344,-71.06514233333334,12.199999809265137,329946.544845463,4692339.805899831,19,4,T
1665800747.39448,0,8749,0,GPS1_Frame,42.364740333333344,-71.06514233333334,12.199999809265137,329946.544845463,4692339.805899831,19,4,T
1665800748.386636,0,8750,0,GPS1_Frame,42.364740333333344,-71.06514233333334,12.199999809265137,329946.544845463,4692339.805899831,19,4,T
1665800749.3968716,0,8751,0,GPS1_Frame,42.364740333333344,-71.06514233333334,12.199999809265137,329946.544845463,4692339.805899831,19,4,T
1665800750.3919091,0,8752,0,GPS1_Frame,42.364740333333344,-71.06514233333334,12.199999809265137,329946.544845463,4692339.805899831,19,4,T
1665800751.4049773,0,8753,0,GPS1_Frame,42.364740333333344,-71.06514233333334,12.199999809265137,329946.544845463,4692339.805899831,19,4,T
1665800752.3989856,0,8754,0,GPS1_Frame,42.364740333333344,-71.06514233333334,12.199999809265137,329946.544845463,4692339.805899831,19,4,T
1665800753.3853989,0,8755,0,GPS1_Frame,42.364740333333344,-71.06514233333334,12.199999809265137,329946.544845463,4692339.805899831,19,4,T
1665800754.3933027,0,8756,0,GPS1_Frame,42.364740333333344,-71.06514233333334,12.199999809265137,329946.544845463,4692339.805899831,19,4,T
1665800755.4113598,0,8757,0,GPS1_Frame,42.364740333333344,-71.06514233333334,12.199999809265137,329946.544845463,4692339.805899831,19,4,T
1665800756.3977504,0,8758,0,GPS1_Frame,42.364740333333344,-71.06514233333334,12.199999809265137,329946.544845463,4692339.805899831,19,4,T
1665800757.4117422,0,8759,0,GPS1_Frame,42.364740333333344,-71.06514233333334,12.199999809265137,329946.544845463,4692339.805899831,19,4,T
1665800758.40313,0,8700,0,GPS1_Frame,42.364740333333344,-71.06514233333334,12.199999809265137,329946.544845463,4692339.805899831,19,4,T
1665800759.4159803,0,8761,0,GPS1_Frame,42.364740333333344,-71.06514233333334,12.199999809265137,329946.544845463,4692339.805899831,19,4,T
1665800760.4025133,0,8762,0,GPS1_Frame,42.364740333333344,-71.06514233333334,12.199999809265137,329946.544845463,4692339.805899831,19,4,T
1665800761.3954988,0,8763,0,GPS1_Frame,42.364740333333344,-71.06514233333334,12.199999809265137,329946.544845463,4692339.805899831,19,4,T
1665800762.3899865,0,8764,0,GPS1_Frame,42.364740333333344,-71.06514233333334,12.199999809265137,329946.544845463,4692339.805899831,19,4,T
1665800763.39938,0,8765,0,GPS1_Frame,42.364740333333344,-71.06514233333334,12.199999809265137,329946.544845463,4692339.805899831,19,4,T
1665800764.4070616,0,8766,0,GPS1_Frame,42.364740333333344,-71.06514233333334,12.199999809265137,329946.544845463,4692339.805899831,19,4,T
1665800765.3988733,0,8767,0,GPS1_Frame,42.364740333333344,-71.06514233333334,12.199999809265137,329946.544845463,4692339.805899831,19,4,T
1665800766.409725,0,8768,0,GPS1_Frame,42.364740333333344,-71.06514233333334,12.199999809265137,329946.544845463,4692339.805899831,19,4,T
