Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,UTM_easting,UTM_northing,Zone,Letter,GNSS_fix_quality
1665804899.101792,0,12899,0,GPS1_Frame,42.36349716666667,-71.06430333333333,11.899999618530273,330012.28195190825,4692200.082914967,19.0,T,4.0
1665804900.0912037,0,12900,0,GPS1_Frame,42.36349716666667,-71.06430316666666,11.899999618530273,330012.2956768449,4692200.082581615,19.0,T,4.0
1665804901.1012785,0,12901,0,GPS1_Frame,42.36349716666667,-71.06430316666666,11.899999618530273,330012.2956768449,4692200.082581615,19.0,T,4.0
1665804902.0888193,0,12902,0,GPS1_Frame,42.36349716666667,-71.06430333333333,11.899999618530273,330012.28195190825,4692200.082914967,19.0,T,4.0
1665804903.0985332,0,12903,0,GPS1_Frame,42.36349716666667,-71.06430316666666,11.899999618530273,330012.2956768449,4692200.082581615,19.0,T,4.0
1665804904.0896373,0,12904,0,GPS1_Frame,42.36349716666667,-71.06430316666666,11.899999618530273,330012.2956768449,4692200.082581615,19.0,T,4.0
1665804905.0999334,0,12905,0,GPS1_Frame,42.36349716666667,-71.06430316666666,11.899999618530273,330012.2956768449,4692200.082581615,19.0,T,4.0
1665804906.0903022,0,12906,0,GPS1_Frame,42.36349716666667,-71.06430316666666,11.899999618530273,330012.2956768449,4692200.082581615,19.0,T,4.0
1665804907.105733,0,12907,0,GPS1_Frame,42.36349716666667,-71.06430333333333,11.899999618530273,330012.28195190825,4692200.082914967,19.0,T,4.0
1665804908.0795586,0,12908,0,GPS1_Frame,42.36349716666667,-71.06430316666666,11.899999618530273,330012.2956768449,4692200.082581615,19.0,T,4.0
1665804909.1075306,0,12909,0,GPS1_Frame,42.36349716666667,-71.06430333333333,11.899999618530273,330012.28195190825,4692200.082914967,19.0,T,4.0
1665804910.1010902,0,12910,0,GPS1_Frame,42.36349716666667,-71.06430316666666,11.899999618530273,330012.2956768449,4692200.082581615,19.0,T,4.0
1665804911.1117604,0,12911,0,GPS1_Frame,42.36349716666667,-71.06430316666666,11.899999618530273,330012.2956768449,4692200.082581615,19.0,T,4.0
1665804912.0812926,0,12912,0,GPS1_Frame,42.36349716666667,-71.06430316666666,11.899999618530273,330012.2956768449,4692200.082581615,19.0,T,4.0
1665804913.0922043,0,12913,0,GPS1_Frame,42.36349716666667,-71.06430316666666,11.899999618530273,330012.2956768449,4692200.082581615,19.0,T,4.0
