Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,UTM_easting,UTM_northing,Fix_quality,Zone,Letter
1665081945.5939653,0,67546,0,GPS1_Frame,42.3371696472168,-71.0868148803711,12.300000190734863,328086.625,4689322.0,4,19,T
1665081946.591839,0,67547,0,GPS1_Frame,42.3371696472168,-71.0868148803711,12.399999618530273,328086.65625,4689322.0,4,19,T
1665081947.5884619,0,67548,0,GPS1_Frame,42.3371696472168,-71.0868148803711,12.399999618530273,328086.6875,4689322.0,4,19,T
1665081948.591514,0,67549,0,GPS1_Frame,42.3371696472168,-71.0868148803711,12.399999618530273,328086.71875,4689322.0,4,19,T
1665081949.591421,0,67550,0,GPS1_Frame,42.3371696472168,-71.0868148803711,12.300000190734863,328086.71875,4689321.5,4,19,T
1665081950.591224,0,67551,0,GPS1_Frame,42.3371696472168,-71.0868148803711,12.399999618530273,328086.75,4689321.5,4,19,T
1665081951.5931091,0,67552,0,GPS1_Frame,42.3371696472168,-71.0868148803711,12.399999618530273,328086.75,4689322.0,4,19,T
1665081952.5937066,0,67553,0,GPS1_Frame,42.3371696472168,-71.0868148803711,12.399999618530273,328086.6875,4689322.0,4,19,T
1665081953.5925074,0,67554,0,GPS1_Frame,42.3371696472168,-71.0868148803711,12.399999618530273,328086.65625,4689322.0,4,19,T
1665081954.5953195,0,67555,0,GPS1_Frame,42.3371696472168,-71.0868148803711,12.399999618530273,328086.625,4689322.0,4,19,T
1665081955.6004982,0,67556,0,GPS1_Frame,42.3371696472168,-71.0868148803711,12.399999618530273,328086.65625,4689322.0,4,19,T
1665081956.5880144,0,67557,0,GPS1_Frame,42.3371696472168,-71.0868148803711,12.399999618530273,328086.65625,4689322.0,4,19,T
1665081957.59237,0,67558,0,GPS1_Frame,42.3371696472168,-71.0868148803711,12.399999618530273,328086.65625,4689322.0,4,19,T
1665081958.594092,0,67559,0,GPS1_Frame,42.3371696472168,-71.0868148803711,12.399999618530273,328086.6875,4689322.0,4,19,T
1665081959.5917928,0,67560,0,GPS1_Frame,42.3371696472168,-71.0868148803711,12.399999618530273,328086.6875,4689322.0,4,19,T
1665081960.594124,0,67561,0,GPS1_Frame,42.3371696472168,-71.0868148803711,12.399999618530273,328086.71875,4689322.0,4,19,T
1665081961.5908527,0,67562,0,GPS1_Frame,42.3371696472168,-71.0868148803711,12.399999618530273,328086.71875,4689322.0,4,19,T
1665081962.597221,0,67563,0,GPS1_Frame,42.3371696472168,-71.0868148803711,12.399999618530273,328086.71875,4689322.0,4,19,T
1665081963.5922341,0,67564,0,GPS1_Frame,42.3371696472168,-71.0868148803711,12.399999618530273,328086.71875,4689322.0,4,19,T
1665081964.6012132,0,67565,0,GPS1_Frame,42.3371696472168,-71.0868148803711,12.399999618530273,328086.71875,4689322.0,4,19,T
1665081965.5872188,0,67566,0,GPS1_Frame,42.3371696472168,-71.0868148803711,12.399999618530273,328086.71875,4689322.0,4,19,T
1665081966.5936937,0,67567,0,GPS1_Frame,42.3371696472168,-71.0868148803711,12.399999618530273,328086.71875,4689322.0,4,19,T
1665081967.5885768,0,67568,0,GPS1_Frame,42.3371696472168,-71.0868148803711,12.399999618530273,328086.71875,4689322.0,4,19,T
1665081968.598417,0,67569,0,GPS1_Frame,42.3371696472168,-71.0868148803711,12.399999618530273,328086.71875,4689322.0,4,19,T
1665081969.6001928,0,67570,0,GPS1_Frame,42.3371696472168,-71.0868148803711,12.399999618530273,328086.71875,4689322.0,4,19,T
1665081970.5948043,0,67571,0,GPS1_Frame,42.3371696472168,-71.0868148803711,12.399999618530273,328086.71875,4689322.0,4,19,T
1665081971.5963693,0,67572,0,GPS1_Frame,42.3371696472168,-71.0868148803711,12.399999618530273,328086.6875,4689322.0,4,19,T
1665081972.5955808,0,67573,0,GPS1_Frame,42.3371696472168,-71.0868148803711,12.399999618530273,328086.6875,4689322.0,4,19,T
1665081973.594167,0,67574,0,GPS1_Frame,42.3371696472168,-71.0868148803711,12.399999618530273,328086.65625,4689322.0,4,19,T
1665081974.5998833,0,67575,0,GPS1_Frame,42.3371696472168,-71.0868148803711,12.399999618530273,328086.65625,4689322.0,4,19,T
1665081975.5946891,0,67576,0,GPS1_Frame,42.3371696472168,-71.0868148803711,12.399999618530273,328086.65625,4689322.0,4,19,T
1665081976.5924988,0,67577,0,GPS1_Frame,42.3371696472168,-71.0868148803711,12.399999618530273,328086.65625,4689322.0,4,19,T
1665081977.59403,0,67578,0,GPS1_Frame,42.3371696472168,-71.0868148803711,12.399999618530273,328086.65625,4689322.0,4,19,T
1665081978.5935109,0,67579,0,GPS1_Frame,42.3371696472168,-71.0868148803711,12.300000190734863,328086.6875,4689322.0,4,19,T
1665081979.6027658,0,67580,0,GPS1_Frame,42.3371696472168,-71.0868148803711,12.300000190734863,328086.625,4689322.0,4,19,T
1665081980.5942066,0,67581,0,GPS1_Frame,42.3371696472168,-71.0868148803711,12.300000190734863,328086.625,4689322.0,4,19,T
1665081981.595446,0,67582,0,GPS1_Frame,42.3371696472168,-71.0868148803711,12.300000190734863,328086.65625,4689322.0,4,19,T
1665081982.592557,0,67583,0,GPS1_Frame,42.3371696472168,-71.0868148803711,12.300000190734863,328086.6875,4689322.0,4,19,T
1665081983.5895677,0,67584,0,GPS1_Frame,42.3371696472168,-71.0868148803711,12.300000190734863,328086.71875,4689322.0,4,19,T
1665081984.604357,0,67585,0,GPS1_Frame,42.3371696472168,-71.0868148803711,12.300000190734863,328086.6875,4689322.0,4,19,T
