Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,UTM_easting,UTM_northing,Fix_quality,Zone,Letter
1665082898.602568,0,68499,0,GPS1_Frame,42.3370475769043,-71.08685302734375,14.199999809265137,328083.125,4689308.5,4,19,T
1665082899.6130593,0,68500,0,GPS1_Frame,42.33704376220703,-71.08685302734375,14.100000381469727,328083.46875,4689308.0,4,19,T
1665082900.6101773,0,68501,0,GPS1_Frame,42.3370361328125,-71.08683776855469,14.100000381469727,328084.15625,4689307.0,4,19,T
1665082901.6009164,0,68502,0,GPS1_Frame,42.33702850341797,-71.08683013916016,14.100000381469727,328084.875,4689306.0,4,19,T
1665082902.6122584,0,68503,0,GPS1_Frame,42.33701705932617,-71.08682250976562,14.100000381469727,328085.65625,4689305.0,4,19,T
1665082903.6075892,0,68504,0,GPS1_Frame,42.33700942993164,-71.0868148803711,14.100000381469727,328086.375,4689304.0,4,19,T
1665082904.610528,0,68505,0,GPS1_Frame,42.33700180053711,-71.08679962158203,14.100000381469727,328087.21875,4689303.0,4,19,T
1665082905.6033232,0,68506,0,GPS1_Frame,42.33699035644531,-71.0867919921875,14.100000381469727,328088.03125,4689302.0,4,19,T
1665082906.6039298,0,68507,0,GPS1_Frame,42.33698272705078,-71.08678436279297,14.100000381469727,328088.75,4689301.0,4,19,T
1665082907.6416142,0,68508,0,GPS1_Frame,42.336971282958984,-71.08677673339844,14.100000381469727,328089.4375,4689300.0,4,19,T
1665082908.6054626,0,68509,0,GPS1_Frame,42.33696365356445,-71.0867691040039,14.100000381469727,328090.1875,4689298.5,4,19,T
1665082909.61261,0,68510,0,GPS1_Frame,42.336952209472656,-71.08675384521484,14.100000381469727,328090.90625,4689297.5,4,19,T
1665082910.6058831,0,68511,0,GPS1_Frame,42.336944580078125,-71.08674621582031,14.100000381469727,328091.78125,4689297.0,4,19,T
1665082911.6167989,0,68512,0,GPS1_Frame,42.336936950683594,-71.08673095703125,14.100000381469727,328092.71875,4689296.0,4,19,T
1665082912.606883,0,68513,0,GPS1_Frame,42.33693313598633,-71.08672332763672,14.0,328093.75,4689295.5,4,19,T
1665082913.6068203,0,68514,0,GPS1_Frame,42.33692932128906,-71.08670806884766,14.0,328094.75,4689295.0,4,19,T
1665082914.6103475,0,68515,0,GPS1_Frame,42.3369255065918,-71.08670043945312,14.100000381469727,328095.75,4689294.5,4,19,T
1665082915.605902,0,68516,0,GPS1_Frame,42.33692932128906,-71.08668518066406,14.100000381469727,328096.8125,4689295.0,4,19,T
1665082916.6228058,0,68517,0,GPS1_Frame,42.33693313598633,-71.086669921875,14.100000381469727,328097.875,4689295.5,4,19,T
1665082917.6130617,0,68518,0,GPS1_Frame,42.33694076538086,-71.08666229248047,14.0,328098.90625,4689296.0,4,19,T
1665082918.6119933,0,68519,0,GPS1_Frame,42.33694839477539,-71.0866470336914,14.0,328099.9375,4689297.0,4,19,T
1665082919.6043408,0,68520,0,GPS1_Frame,42.33695602416992,-71.08663177490234,14.100000381469727,328100.9375,4689297.5,5,19,T
1665082920.6079228,0,68521,0,GPS1_Frame,42.33695983886719,-71.08662414550781,14.100000381469727,328101.84375,4689298.5,5,19,T
1665082921.6057467,0,68522,0,GPS1_Frame,42.33696746826172,-71.08660888671875,14.100000381469727,328102.84375,4689299.0,4,19,T
1665082922.6078982,0,68523,0,GPS1_Frame,42.33697509765625,-71.08660125732422,14.0,328103.71875,4689300.0,4,19,T
1665082923.611173,0,68524,0,GPS1_Frame,42.33698272705078,-71.08659362792969,14.0,328104.59375,4689301.0,4,19,T
1665082924.60481,0,68525,0,GPS1_Frame,42.33699035644531,-71.08657836914062,14.100000381469727,328105.53125,4689301.5,4,19,T
1665082925.6049306,0,68526,0,GPS1_Frame,42.336997985839844,-71.0865707397461,14.199999809265137,328106.5,4689302.0,4,19,T
1665082926.6092806,0,68527,0,GPS1_Frame,42.33700180053711,-71.08655548095703,14.100000381469727,328107.5,4689303.0,4,19,T
1665082927.5999093,0,68528,0,GPS1_Frame,42.33700942993164,-71.0865478515625,14.100000381469727,328108.53125,4689303.5,4,19,T
